13,,CONSTRUCTION OUTPUT: ALL WORK SUMMARY,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,"Chained volume measure, seasonally adjusted, 2012 prices",,,,"Chained volume measure, seasonally adjusted index number, 2012 = 100",,,,"Chained volume measure, non-seasonally adjusted, 2012 prices",,,,"Chained volume measure, non-seasonally adjusted index number, 2012 = 100",,,,"Current prices, non-seasonally adjusted",,,,"Implied deflator (2012=100), non-seasonally adjusted",,
,,All Work,Period on Period Growths,Period on same period one year ago growths,,All Work,Period on Period Growths,Period on same period one year ago growths,,All Work,Period on Period Growths,Period on same period one year ago growths,,All Work,Period on Period Growths,Period on same period one year ago growths,,All Work,Period on Period Growths,Period on same period one year ago growths,,All Work,Period on Period Growths,Period on same period one year ago growths
,,,,,,,,,,,,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,,,,,,,
,,£ million,%,%,,%,%,%,,£ million,%,%,,%,%,%,,£ million,%,%,,%,%,%
1997,,"108,110",,,,93.2,,,,"108,369",,,,93.4,,,,"60,990",,,,56.3,,
1998,,"109,715",1.5,,,94.6,1.5,,,"109,984",1.5,,,94.8,1.5,,,"64,825",6.3,,,58.9,4.7,
1999,,"111,095",1.3,,,95.8,1.3,,,"111,400",1.3,,,96,1.3,,,"68,581",5.8,,,61.5,4.4,
2000,,"112,070",0.9,,,96.6,0.9,,,"112,292",0.8,,,96.8,0.8,,,"72,711",6,,,64.8,5.2,
2001,,"114,061",1.8,,,98.3,1.8,,,"114,303",1.8,,,98.5,1.8,,,"77,960",7.2,,,68.2,5.3,
2002,,"120,602",5.7,,,104,5.7,,,"120,836",5.7,,,104.2,5.7,,,"87,220",11.9,,,72.2,5.8,
2003,,"126,402",4.8,,,109,4.8,,,"126,620",4.8,,,109.1,4.8,,,"97,258",11.5,,,76.8,6.4,
2004,,"133,118",5.3,,,114.7,5.3,,,"133,230",5.2,,,114.8,5.2,,,"106,658",9.7,,,80.1,4.3,
2005,,"129,877",-2.4,,,111.9,-2.4,,,"129,979",-2.4,,,112,-2.4,,,"111,493",4.5,,,85.8,7.2,
2006,,"130,882",0.8,,,112.8,0.8,,,"130,907",0.7,,,112.8,0.7,,,"118,321",6.1,,,90.4,5.3,
2007,,"133,707",2.2,,,115.2,2.2,,,"133,701",2.1,,,115.2,2.1,,,"127,064",7.4,,,95,5.2,
2008,,"130,210",-2.6,,,112.2,-2.6,,,"130,258",-2.6,,,112.3,-2.6,,,"128,644",1.2,,,98.8,3.9,
2009,,"113,028",-13.2,,,97.4,-13.2,,,"113,113",-13.2,,,97.5,-13.2,,,"111,083",-13.7,,,98.2,-0.6,
2010,,"122,787",8.6,,,105.8,8.6,,,"122,787",8.6,,,105.8,8.6,,,"117,385",5.7,,,95.6,-2.6,
2011,,"125,483",2.2,,,108.2,2.2,,,"125,483",2.2,,,108.2,2.2,,,"121,737",3.7,,,97,1.4,
